Date,Traded Contract(Lots),Quantity (000's),Total Value (Lacs),Instrument Type
14-Feb-13,2674,66.85,11574.67,FUTCOM
15-Feb-13,2379,59.48,10364.67,FUTCOM
16-Feb-13,2188,54.70,9599.72,FUTCOM
18-Feb-13,2940,73.50,12992.04,FUTCOM
19-Feb-13,2040,51.00,8990.47,FUTCOM
20-Feb-13,6058,151.45,27136.23,FUTCOM
21-Feb-13,3683,92.08,16517.17,FUTCOM
22-Feb-13,5084,127.10,22994.44,FUTCOM
23-Feb-13,5226,130.65,23946.14,FUTCOM
25-Feb-13,6264,156.60,28707.98,FUTCOM
26-Feb-13,4681,117.03,21224.17,FUTCOM
27-Feb-13,4223,105.58,19348.47,FUTCOM
28-Feb-13,6980,174.50,32468.67,FUTCOM
01-Mar-13,6911,172.78,32244.07,FUTCOM
02-Mar-13,2277,56.93,10550.11,FUTCOM
04-Mar-13,4305,107.63,19791.39,FUTCOM
05-Mar-13,4081,102.03,18881.63,FUTCOM
06-Mar-13,4491,112.28,20903.83,FUTCOM
07-Mar-13,5336,133.40,24946.22,FUTCOM
08-Mar-13,4450,111.25,20958.81,FUTCOM
09-Mar-13,5247,131.18,24917.64,FUTCOM
11-Mar-13,5916,147.90,27953.07,FUTCOM
12-Mar-13,3218,80.45,15083.65,FUTCOM
13-Mar-13,4584,114.60,21551.37,FUTCOM
14-Mar-13,4406,110.15,20953.55,FUTCOM
15-Mar-13,8026,200.65,38736.06,FUTCOM
16-Mar-13,4212,105.30,20325.73,FUTCOM
18-Mar-13,5178,129.45,24690.86,FUTCOM
19-Mar-13,3766,94.15,17994.34,FUTCOM
20-Mar-13,3929,98.23,18901.64,FUTCOM
21-Mar-13,5003,125.08,23808.85,FUTCOM
22-Mar-13,4188,104.70,19785.53,FUTCOM
23-Mar-13,3793,94.83,17753.12,FUTCOM
25-Mar-13,4457,111.43,20807.58,FUTCOM
26-Mar-13,5686,142.15,26894.67,FUTCOM
27-Mar-13,0,0.00,0.00,FUTCOM
28-Mar-13,4324,108.10,20595.86,FUTCOM
30-Mar-13,3984,99.60,19365.14,FUTCOM
01-Apr-13,4566,114.15,22242.09,FUTCOM
02-Apr-13,4204,105.10,20353.38,FUTCOM
03-Apr-13,2664,66.60,12940.50,FUTCOM
04-Apr-13,3074,76.85,14874.27,FUTCOM
05-Apr-13,3026,75.65,14568.70,FUTCOM
06-Apr-13,2369,59.23,11294.32,FUTCOM
08-Apr-13,4322,108.05,20554.36,FUTCOM
09-Apr-13,4429,110.73,21070.10,FUTCOM
10-Apr-13,4494,112.35,21594.76,FUTCOM
11-Apr-13,4105,102.63,19770.65,FUTCOM
12-Apr-13,2809,70.23,13424.75,FUTCOM
13-Apr-13,4126,103.15,19598.02,FUTCOM
15-Apr-13,4753,118.83,22152.25,FUTCOM
16-Apr-13,7073,176.83,32130.26,FUTCOM
17-Apr-13,4932,123.30,22411.59,FUTCOM
18-Apr-13,4523,113.08,20630.18,FUTCOM
19-Apr-13,0,0.00,0.00,FUTCOM
20-Apr-13,4688,117.20,21013.61,FUTCOM
22-Apr-13,5537,138.43,24803.35,FUTCOM
23-Apr-13,3169,79.23,14355.85,FUTCOM
24-Apr-13,0,0.00,0.00,FUTCOM
25-Apr-13,5534,138.35,24496.54,FUTCOM
26-Apr-13,3447,86.18,15501.56,FUTCOM
27-Apr-13,2093,52.33,9491.53,FUTCOM
29-Apr-13,3483,87.08,15935.20,FUTCOM
30-Apr-13,3275,81.88,15089.25,FUTCOM
01-May-13,0,0.00,0.00,FUTCOM
02-May-13,4031,100.78,18229.53,FUTCOM
03-May-13,2995,74.88,13678.81,FUTCOM
04-May-13,728,18.20,3335.87,FUTCOM
06-May-13,2172,54.30,9895.40,FUTCOM
07-May-13,2116,52.90,9591.02,FUTCOM
08-May-13,2093,52.33,9483.20,FUTCOM
09-May-13,3303,82.58,15027.20,FUTCOM
10-May-13,2314,57.85,10564.97,FUTCOM
11-May-13,1514,37.85,6915.13,FUTCOM
13-May-13,2316,57.90,10496.74,FUTCOM
14-May-13,1583,39.58,7178.93,FUTCOM
15-May-13,2075,51.88,9443.36,FUTCOM
16-May-13,1278,31.95,5797.58,FUTCOM
17-May-13,1287,32.18,5836.65,FUTCOM
18-May-13,802,20.05,3618.37,FUTCOM
20-May-13,1683,42.08,7597.80,FUTCOM
21-May-13,1356,33.90,6140.13,FUTCOM
22-May-13,2622,65.55,11869.27,FUTCOM
23-May-13,2218,55.45,10139.65,FUTCOM
24-May-13,3047,76.18,13900.75,FUTCOM
27-May-13,3333,83.33,15173.57,FUTCOM
28-May-13,2443,61.08,11235.36,FUTCOM
29-May-13,2102,52.55,9683.63,FUTCOM
30-May-13,2593,64.83,12004.81,FUTCOM
31-May-13,2752,68.80,12881.85,FUTCOM
01-Jun-13,980,24.50,4584.44,FUTCOM
03-Jun-13,1964,49.10,9200.53,FUTCOM
04-Jun-13,2650,66.25,12590.41,FUTCOM
05-Jun-13,1605,40.13,7648.99,FUTCOM
06-Jun-13,1199,29.98,5705.88,FUTCOM
07-Jun-13,1729,43.23,8248.01,FUTCOM
08-Jun-13,752,18.80,3590.49,FUTCOM
10-Jun-13,3401,85.03,16320.07,FUTCOM
11-Jun-13,4343,108.58,21079.77,FUTCOM
12-Jun-13,2742,68.55,13257.21,FUTCOM
13-Jun-13,3571,89.28,17396.52,FUTCOM
14-Jun-13,3060,76.50,15037.01,FUTCOM
15-Jun-13,903,22.58,4411.40,FUTCOM
17-Jun-13,3346,83.65,16150.04,FUTCOM
